timestamp,sleep_log_entry_id,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness,minutes_asleep,minutes_awake,minutes_after_wakeup,time_in_bed,efficiency,duration,minutes_to_fall_asleep
2019-11-02T07:19:30Z,24486013387,79,20,22,37,36,53,0.07897793263646923,378,52,0,430,97,25800000,0
2019-11-03T07:34:30Z,24497341340,71,16,17,38,38,52,0.09349112426035502,378,44,0,422,96,25320000,0
2019-11-04T06:35:00Z,24507914069,68,15,15,38,37,53,0.0648508430609598,361,38,0,399,96,23940000,0
2019-11-05T06:25:00Z,24521896102,73,15,22,36,26,54,0.09318497913769123,326,36,1,362,99,21720000,0
2019-11-06T06:29:30Z,24534036899,67,17,13,37,65,52,0.0644718792866941,341,23,1,364,99,21840000,0
2019-11-07T05:52:00Z,24544805751,71,15,22,34,44,54,0.06818181818181818,312,54,0,366,97,21960000,0
2019-11-08T06:21:00Z,24557456459,74,20,16,38,34,53,0.05648267008985879,360,32,1,392,100,23520000,0
2019-11-09T07:02:30Z,24568877484,74,18,21,35,36,53,0.06641123882503193,344,47,0,391,99,23460000,0
2019-11-10T07:18:00Z,24579324569,81,21,22,38,52,53,0.061611374407582936,382,40,0,422,99,25320000,0
2019-11-11T06:05:00Z,24590226936,66,15,16,35,38,52,0.12536023054755044,318,38,0,356,97,21360000,0
2019-11-12T06:22:00Z,24604556303,70,16,16,38,50,52,0.08095238095238096,378,45,0,423,98,25380000,0
2019-11-13T06:29:00Z,24618615466,76,19,22,35,28,52,0.056768558951965066,320,41,0,361,97,21660000,0
2019-11-14T06:29:30Z,24628844253,65,17,13,35,42,51,0.10758620689655173,325,42,1,367,99,22020000,0
2019-11-15T06:39:00Z,24641842224,74,21,16,37,58,51,0.11081081081081082,342,43,2,385,95,23100000,0
2019-11-16T06:47:00Z,24652788470,67,15,18,34,20,51,0.10795454545454546,317,42,0,359,93,21540000,0
2019-11-17T06:47:30Z,24664385870,71,20,15,36,49,51,0.14953271028037382,337,40,6,377,96,22620000,0
2019-11-18T06:36:00Z,24676261766,72,16,21,35,8,51,0.09165526675786594,330,42,0,372,98,22320000,0
2019-11-19T06:18:30Z,24688967886,67,20,13,34,43,50,0.08531468531468532,318,43,0,361,96,21660000,0
2019-11-20T06:30:30Z,24703157234,74,18,18,38,39,53,0.07337278106508875,383,39,0,422,97,25320000,0
2019-11-21T06:15:30Z,24717053033,70,18,18,34,32,52,0.09421265141318977,327,44,3,371,98,22260000,0
2019-11-22T06:30:30Z,24738250860,66,17,14,35,41,52,0.09395973154362416,333,39,4,372,97,22320000,0
2019-11-23T06:48:00Z,24748626099,71,16,18,37,74,53,0.10279187817258884,356,54,0,410,98,24600000,0
2019-11-24T08:53:30Z,24784535314,80,20,19,41,55,53,0.0736949846468782,421,67,0,488,95,29280000,0
2019-11-25T06:39:00Z,24784535315,71,14,21,36,22,53,0.08543417366946779,332,35,0,367,98,22020000,0
2019-11-26T06:00:30Z,24784535316,66,15,19,32,41,52,0.13458950201884254,318,53,0,371,98,22260000,0
2019-11-27T06:25:00Z,24814208772,75,16,22,37,27,51,0.08160779537149818,365,45,0,410,97,24600000,0
2019-11-28T06:28:30Z,24814208773,70,14,22,34,25,51,0.08173690932311622,341,50,0,391,94,23460000,0
2019-11-29T06:13:00Z,24833913565,67,20,13,34,42,49,0.09475218658892129,309,52,0,361,93,21660000,0
2019-11-30T07:46:00Z,24833913567,74,16,17,41,40,50,0.06462984723854288,402,33,1,435,97,26100000,0
2019-12-01T07:11:30Z,24844211484,72,16,18,38,34,51,0.14352392065344224,387,41,0,428,96,25680000,0
2019-12-02T03:59:30Z,24883896361,65,15,22,28,10,50,0.05647058823529412,190,23,0,213,95,12780000,0
2019-12-03T06:21:30Z,24883896362,76,17,22,37,21,50,0.05179282868525897,345,35,0,380,98,22800000,0
2019-12-04T06:26:00Z,24884748604,67,16,15,36,42,50,0.08852005532503458,335,42,0,377,94,22620000,0
2019-12-05T06:33:30Z,24896517693,66,19,13,34,36,51,0.08297567954220315,314,39,0,353,95,21180000,0
2019-12-06T06:26:30Z,24907589731,54,19,10,25,24,51,0.19467787114845939,290,69,0,359,89,21540000,0
2019-12-07T07:21:00Z,24918333423,81,18,20,43,74,53,0.08180839612486544,424,48,1,472,94,28320000,0
2019-12-08T07:22:30Z,24928897739,80,19,21,40,21,52,0.09090909090909091,402,38,7,440,97,26400000,0
2019-12-09T06:11:30Z,24939299803,62,15,12,35,38,51,0.12549019607843137,332,50,1,382,94,22920000,0
2019-12-10T06:22:30Z,24959428562,78,19,22,37,20,53,0.0638002773925104,336,24,4,360,99,21600000,0
2019-12-11T06:34:30Z,24965365261,76,21,16,39,53,51,0.13752665245202558,416,57,1,473,94,28380000,0
2019-12-12T04:33:00Z,24977378510,53,13,12,28,18,51,0.1079429735234216,220,29,0,249,96,14940000,0
2019-12-13T06:26:00Z,24993382413,68,15,16,37,57,53,0.03943661971830986,337,32,0,369,96,22140000,0
2019-12-14T07:21:00Z,25002949972,71,14,18,39,34,54,0.06563245823389022,386,41,0,427,97,25620000,0
2019-12-15T07:21:30Z,25013252574,74,20,16,38,28,54,0.1357409713574097,369,32,0,401,97,24060000,0
2019-12-16T06:18:30Z,25024072567,75,19,18,38,30,54,0.1169811320754717,367,30,10,397,99,23820000,0
2019-12-17T06:19:00Z,25037232327,66,15,17,34,52,53,0.14119359534206696,309,40,0,349,97,20940000,0
2019-12-18T06:40:00Z,25054810997,68,16,17,35,29,53,0.10215053763440861,329,48,0,377,94,22620000,0
2019-12-19T06:38:30Z,25067390084,71,19,18,34,21,52,0.09720176730486009,310,34,5,344,96,20640000,0
2019-12-20T06:43:00Z,25083130865,65,16,14,35,14,52,0.0711743772241993,267,27,0,294,95,17640000,0
2019-12-21T07:55:30Z,25107850649,79,20,20,39,28,54,0.12274368231046931,385,30,0,415,99,24900000,0
2019-12-22T07:50:30Z,25107850650,78,17,22,39,36,53,0.07536557930258718,403,41,0,444,97,26640000,0
2019-12-23T08:49:00Z,25115046163,79,17,20,42,37,52,0.12016718913270637,430,48,0,478,95,28680000,0
2019-12-24T07:23:00Z,25146907268,71,14,19,38,17,51,0.1433868974042027,369,41,0,410,98,24600000,0
2019-12-25T09:26:00Z,25146907269,82,21,19,42,57,52,0.07060063224446786,423,57,1,480,97,28800000,0
2019-12-26T07:50:00Z,25148279961,78,19,20,39,22,51,0.07007786429365963,406,44,0,450,96,27000000,0
2019-12-27T08:25:00Z,25158984013,78,20,18,40,69,50,0.14115092290988057,417,43,0,460,94,27600000,0
2019-12-28T08:06:30Z,25174124398,75,17,16,42,38,50,0.12332990750256938,439,47,0,486,94,29160000,0
2019-12-29T07:58:30Z,25184652035,74,20,15,39,56,50,0.09914712153518124,418,54,0,472,96,28320000,0
2019-12-30T08:21:30Z,25200382694,65,16,13,36,43,51,0.095112285336856,338,40,0,378,98,22680000,0
2019-12-31T07:55:30Z,25214134078,78,20,21,37,62,53,0.07872078720787208,364,42,0,406,97,24360000,0
2020-01-01T08:34:00Z,25228401016,75,19,17,39,47,52,0.06005221932114883,360,37,0,397,98,23820000,0
2020-01-02T05:42:30Z,25239060912,88,21,21,46,73,53,0.06601248884924175,510,50,1,560,96,33600000,0
2020-01-03T06:21:30Z,25272136869,73,21,16,36,43,52,0.08875739644970414,368,54,0,422,96,25320000,0
2020-01-04T08:24:00Z,25272136870,78,16,20,42,16,51,0.0674373795761079,459,61,0,520,99,31200000,0
2020-01-05T08:04:30Z,25284389027,69,14,13,42,46,51,0.122533748701973,430,51,5,481,96,28860000,0
2020-01-06T06:25:00Z,25295313689,72,17,18,37,64,52,0.17436661698956782,318,31,0,349,99,20940000,0
2020-01-07T05:57:30Z,25313751473,66,17,15,34,12,51,0.05738880918220947,315,37,0,352,98,21120000,0
2020-01-08T06:20:30Z,25335178948,69,19,19,31,21,53,0.14921465968586387,327,62,5,389,90,23340000,0
2020-01-09T06:40:30Z,25356549170,67,19,13,35,48,52,0.11304347826086956,348,54,0,402,93,24120000,0
2020-01-10T06:50:30Z,25371920891,71,19,16,36,44,53,0.08062418725617686,344,40,0,384,93,23040000,0
2020-01-11T08:40:00Z,25385814738,80,18,20,42,0,52,0.08584905660377358,475,61,1,536,96,32160000,0
2020-01-12T07:55:30Z,25399900721,72,14,18,40,19,52,0.08250825082508251,414,49,0,463,98,27780000,0
2020-01-13T05:35:00Z,25412360367,68,15,19,34,44,52,0.0410958904109589,302,26,0,328,99,19680000,0
2020-01-14T06:06:00Z,25430218066,75,17,20,38,19,52,0.10479797979797979,364,32,0,396,97,23760000,0
2020-01-15T06:23:00Z,25446511879,78,15,21,42,34,51,0.06305170239596469,382,50,5,432,93,25920000,0
2020-01-16T05:49:30Z,25459709394,73,16,21,36,35,51,0.054637865311308764,351,42,0,393,99,23580000,0
2020-01-17T06:11:00Z,25476657499,73,21,15,37,75,51,0.07152317880794702,350,48,3,398,96,23880000,0
2020-01-18T06:50:30Z,25491307048,66,14,20,32,47,52,0.05655172413793103,311,51,0,362,99,21720000,0
2020-01-19T09:01:00Z,25505680297,66,16,14,36,66,51,0.060240963855421686,337,39,0,376,97,22560000,0
2020-01-20T06:26:00Z,25517965824,73,16,20,37,41,52,0.07934508816120907,359,53,0,412,99,24720000,0
2020-01-21T06:22:00Z,25532323736,77,19,20,38,47,51,0.06683480453972257,365,40,0,405,97,24300000,0
2020-01-22T06:02:00Z,25549335117,68,14,20,34,30,50,0.055299539170506916,302,29,0,331,99,19860000,0
2020-01-23T06:39:00Z,25563369863,71,17,17,37,9,50,0.057104913678618856,349,44,4,393,98,23580000,0
2020-01-24T06:37:00Z,25578218713,73,20,15,38,59,51,0.12064965197215777,392,56,0,448,94,26880000,0
2020-01-25T06:55:00Z,25596279820,74,21,14,39,73,51,0.09316037735849056,387,50,3,437,97,26220000,0
2020-01-26T07:18:00Z,25605534656,71,18,17,36,33,52,0.12372304199772985,381,59,0,440,95,26400000,0
2020-01-27T06:18:30Z,25619836798,69,15,21,33,53,52,0.07482014388489208,307,43,0,350,99,21000000,0
2020-01-28T06:07:00Z,25635799766,66,15,16,35,27,51,0.06338028169014084,326,38,1,364,97,21840000,0
2020-01-29T06:27:30Z,25653433523,72,19,18,35,57,52,0.048409405255878286,325,36,4,361,99,21660000,0
2020-01-30T06:34:30Z,25674732632,73,15,22,36,43,51,0.05242463958060288,343,42,0,385,98,23100000,0
2020-01-31T06:23:00Z,25696136875,70,20,13,37,40,50,0.07856191744340879,349,39,0,388,97,23280000,0
2020-02-01T06:19:00Z,25710158098,64,14,16,34,15,53,0.11662198391420911,326,50,0,376,97,22560000,0
2020-02-02T07:05:30Z,25723889168,69,16,15,38,32,53,0.07257072570725707,372,35,10,407,99,24420000,0
2020-02-03T06:15:00Z,25737094234,78,20,21,37,37,54,0.09483793517406963,369,50,0,419,95,25140000,0
2020-02-04T06:18:30Z,25751096973,70,14,21,35,39,53,0.06630581867388363,331,38,0,369,98,22140000,0
2020-02-05T05:54:30Z,25763452796,62,14,15,33,7,52,0.060561299852289516,300,38,0,338,99,20280000,0
2020-02-06T06:19:00Z,25781305187,72,15,23,34,32,53,0.0754985754985755,317,41,1,358,96,21480000,0
2020-02-07T06:37:00Z,25797449251,69,19,14,36,19,52,0.07567567567567568,340,44,0,384,95,23040000,0
2020-02-08T07:56:00Z,25813865962,80,15,22,43,35,54,0.059782608695652176,425,47,0,472,99,28320000,0
2020-02-09T07:44:30Z,25825902413,76,17,22,37,37,53,0.09305064782096584,379,48,0,427,94,25620000,0
2020-02-10T06:30:30Z,25837553456,70,19,15,36,25,51,0.08089260808926081,327,35,12,362,99,21720000,0
2020-02-11T06:35:30Z,25851281547,73,21,14,38,74,51,0.07161458333333333,359,32,5,391,97,23460000,0
2020-02-12T05:57:30Z,25864331492,74,21,16,37,45,52,0.1037344398340249,338,29,5,367,98,22020000,0
2020-02-13T06:19:00Z,25878895600,74,15,23,36,42,53,0.061711079943899017,330,36,4,366,98,21960000,0
2020-02-14T06:24:00Z,25894489382,55,14,12,29,22,51,0.09515260323159784,247,39,0,286,100,17160000,0
2020-02-15T08:16:30Z,25909204074,69,14,13,42,38,53,0.09508881922675026,423,56,0,479,94,28740000,0
2020-02-16T07:24:00Z,25921424543,71,16,16,39,65,54,0.08105263157894736,417,63,3,480,96,28800000,0
2020-02-17T06:06:30Z,25945567481,66,14,21,31,39,55,0.1037037037037037,289,55,0,344,95,20640000,0
2020-02-18T07:30:00Z,25948956323,68,14,15,39,30,53,0.10705882352941176,389,39,0,428,97,25680000,0
2020-02-19T07:19:00Z,25964084676,74,13,22,39,15,54,0.0749665327978581,352,33,4,385,99,23100000,0
2020-02-20T07:05:30Z,25980514519,75,20,19,36,34,52,0.10997067448680352,318,25,0,343,99,20580000,0
2020-02-21T06:35:30Z,26002023337,58,12,17,29,0,51,0.19902120717781402,263,43,0,306,98,18360000,0
2020-02-22T07:55:00Z,26015459375,72,18,15,39,35,51,0.0761789600967352,378,40,0,418,97,25080000,0
2020-02-23T08:11:30Z,26027506188,75,17,19,39,55,52,0.15005476451259583,410,46,0,456,95,27360000,0
2020-02-24T06:18:00Z,26041241322,71,19,18,34,19,51,0.09103840682788052,315,49,9,364,95,21840000,0
2020-02-25T06:46:30Z,26058384481,59,12,17,30,12,50,0.06239460370994941,264,40,0,304,97,18240000,0
2020-02-26T07:15:00Z,26074956254,69,19,14,36,38,51,0.05555555555555555,296,26,3,322,97,19320000,0
2020-02-27T06:14:30Z,26089770765,68,20,14,34,36,53,0.06713286713286713,319,42,1,361,96,21660000,0
2020-02-28T06:36:00Z,26104885444,71,21,15,35,57,54,0.08273894436519258,318,40,0,358,94,21480000,0
2020-02-29T07:38:00Z,26118440483,69,17,15,37,40,55,0.08877928483353884,362,52,1,414,94,24840000,0
2020-03-01T07:48:30Z,26132199697,73,16,20,37,20,55,0.12285336856010567,346,32,3,378,96,22680000,0
2020-03-02T06:32:00Z,26144800797,77,20,19,38,37,54,0.07261146496815286,366,42,5,408,94,24480000,0
2020-03-03T06:19:00Z,26160067834,84,22,23,39,93,54,0.04060913705583756,374,30,0,404,99,24240000,0
2020-03-04T06:18:30Z,26174144202,67,17,19,31,43,53,0.10802919708029197,300,42,3,342,96,20520000,0
2020-03-05T06:31:00Z,26188840139,75,19,18,38,29,52,0.05084745762711865,358,47,3,405,97,24300000,0
2020-03-06T06:44:00Z,26204846577,71,18,16,37,57,52,0.08722358722358722,369,50,5,419,94,25140000,0
2020-03-07T07:48:30Z,26218265953,68,15,16,37,39,52,0.09966777408637874,392,59,12,451,97,27060000,0
2020-03-08T07:05:30Z,26229880685,71,16,18,37,32,52,0.07134220072551391,371,42,1,413,96,24780000,0
2020-03-09T06:29:30Z,26244404402,73,16,21,36,59,52,0.08322147651006712,334,40,0,374,98,22440000,0
2020-03-10T06:03:00Z,26261658925,70,17,17,36,22,51,0.04316546762589928,326,44,0,370,97,22200000,0
2020-03-12T06:59:00Z,26288429936,64,13,15,36,37,51,0.08835904628330996,331,44,0,375,97,22500000,0
2020-03-13T07:22:30Z,26307254456,82,21,22,39,80,52,0.06820809248554913,389,44,0,433,94,25980000,0
2020-03-14T08:37:00Z,26319462688,76,17,16,43,64,50,0.06345957011258956,446,42,0,488,98,29280000,0
2020-03-15T06:38:30Z,26331393044,64,18,15,31,57,50,0.08664772727272728,301,51,0,352,95,21120000,0
2020-03-16T06:37:00Z,26344100947,76,19,21,36,25,51,0.08604954367666232,345,57,0,402,98,24120000,0
2020-03-17T06:41:30Z,26359380653,76,16,19,41,36,50,0.07376283846872082,473,62,0,535,100,32100000,0
2020-03-18T07:58:30Z,26376122349,81,20,18,43,56,50,0.051336898395721926,427,41,0,468,99,28080000,0
2020-03-19T07:20:00Z,26387142685,74,19,21,34,30,50,0.0728476821192053,332,46,0,378,97,22680000,0
2020-03-20T06:43:30Z,26403965072,72,20,16,36,37,49,0.06225165562913907,341,39,0,380,99,22800000,0
2020-03-21T07:38:30Z,26416876464,74,20,17,37,40,49,0.049008168028004666,381,52,0,433,98,25980000,0
2020-03-22T08:02:00Z,26429247233,74,16,18,40,35,50,0.08098987626546682,408,46,0,454,98,27240000,0
2020-03-23T07:31:30Z,26439963894,73,18,18,37,45,50,0.07829181494661921,375,48,0,423,99,25380000,0
2020-03-24T07:57:30Z,26454824841,76,17,17,42,42,50,0.05888324873096447,438,54,1,492,98,29520000,0
2020-03-25T07:33:30Z,26467322684,71,17,19,35,66,50,0.06741573033707865,347,56,0,403,99,24180000,0
2020-03-26T07:52:00Z,26479066869,76,16,20,40,54,50,0.058305830583058306,415,44,0,459,98,27540000,0
2020-03-27T08:12:30Z,26491780871,72,19,20,33,59,50,0.09696092619392185,307,38,0,345,97,20700000,0
2020-03-28T07:46:00Z,26502379603,67,16,14,37,5,50,0.08712613784135241,354,48,0,402,96,24120000,0
2020-03-29T08:40:30Z,26516647751,62,16,14,32,55,51,0.056962025316455694,349,65,0,474,99,28440000,0
2020-03-30T07:20:00Z,26528257996,78,19,20,39,34,53,0.13647342995169082,386,37,3,423,98,25380000,0
2019-11-07T06:09:30Z,24550716102,75,21,15,39,40,45,0.1521472392638037,383,34,0,417,90,25020000,0
2019-11-08T07:29:00Z,24554805106,72,22,18,32,72,46,0.2016895459345301,389,89,0,478,98,28680000,0
2019-11-09T05:49:00Z,24575663643,67,21,17,29,35,46,0.0755336617405583,270,38,0,308,94,18480000,0
2019-11-10T08:53:00Z,24586073757,80,22,19,39,76,48,0.2017167381974249,417,52,0,469,99,28140000,0
2019-11-11T06:32:30Z,24590204015,79,22,19,38,67,47,0.13780918727915195,383,51,0,434,91,26040000,0
2019-11-12T03:43:30Z,24614327984,59,14,17,28,4,46,0.15368852459016394,220,42,0,262,98,15720000,0
2019-11-13T06:39:00Z,24636780923,67,17,19,31,28,46,0.1695501730103806,359,81,0,440,98,26400000,0
2019-11-14T06:30:30Z,24636780924,69,20,12,37,57,46,0.16037735849056603,375,54,0,429,99,25740000,0
2019-11-15T06:09:30Z,24659721258,69,18,18,33,50,47,0.09612983770287141,342,58,0,400,93,24000000,0
2019-11-16T09:49:30Z,24659721260,60,21,9,30,57,47,0.20777891504605936,393,95,0,488,92,29280000,0
2019-11-17T08:41:30Z,24683395962,69,21,14,34,39,50,0.07152682255845942,320,43,1,363,96,21780000,0
2019-11-18T06:06:30Z,24683395963,79,22,22,35,75,49,0.08839050131926121,338,51,3,389,96,23340000,0
2019-11-19T06:27:00Z,24698821500,80,21,19,40,36,48,0.13641755634638197,393,37,5,430,96,25800000,0
2019-11-20T05:42:30Z,24707845505,65,16,17,32,62,47,0.1610738255033557,322,53,6,375,91,22500000,0
2019-11-21T06:45:00Z,24745400642,58,13,17,28,27,47,0.1820388349514563,335,88,0,423,90,25380000,0
2019-11-22T06:52:30Z,24745400643,74,21,17,36,38,47,0.18223760092272204,378,57,0,435,99,26100000,0
2019-11-23T08:54:30Z,24754368469,79,21,16,42,55,48,0.16977428851815504,452,57,0,509,91,30540000,0
2019-11-24T09:39:00Z,24781797201,58,19,13,26,20,48,0.06878306878306878,245,38,0,283,94,16980000,0
2019-11-25T06:39:30Z,24781797203,82,20,21,41,58,47,0.12486064659977704,418,30,0,448,96,26880000,0
2019-11-26T06:33:00Z,24792764705,74,20,20,34,46,45,0.09744214372716199,354,78,0,432,97,25920000,0
2019-11-27T06:26:30Z,24814910760,74,19,19,36,63,45,0.1395076201641266,371,55,0,426,92,25560000,0
2019-11-28T06:32:00Z,24814910761,76,21,18,37,51,45,0.17462165308498254,379,58,0,437,90,26220000,0
2019-11-29T06:48:00Z,24829495799,82,22,20,40,86,45,0.12018140589569161,404,42,1,446,94,26760000,0
2019-12-01T10:02:30Z,24838154739,58,18,12,28,43,45,0.18253189401373895,399,110,0,509,96,30540000,0
2019-12-02T06:39:30Z,24857203229,81,22,22,37,87,47,0.11045828437132785,376,49,0,425,93,25500000,0
2019-12-03T06:41:00Z,24862298733,75,21,18,36,73,46,0.20885357548240635,382,58,0,440,99,26400000,0
2019-12-04T06:44:00Z,24895824299,79,21,21,37,54,45,0.13544018058690746,392,51,0,443,92,26580000,0
2019-12-05T06:42:30Z,24896643098,70,17,17,36,63,44,0.20204313280363223,383,59,0,442,99,26520000,0
2019-12-06T03:03:00Z,24914622967,58,14,15,29,10,44,0.09153318077803203,203,30,0,233,91,13980000,0
2019-12-07T07:05:30Z,24923252420,71,22,13,36,74,45,0.1652989449003517,372,54,0,426,92,25560000,0
2019-12-08T09:13:30Z,24935403285,68,20,15,33,43,46,0.1097708082026538,351,63,0,414,94,24840000,0
2019-12-09T03:41:00Z,24959885733,64,21,16,27,49,47,0.09694793536804308,247,35,0,282,92,16920000,0
2019-12-10T07:31:30Z,24959885735,71,20,20,31,50,47,0.1081441922563418,317,57,0,374,94,22440000,0
2019-12-11T06:24:30Z,24972773659,77,21,21,35,37,46,0.14512195121951219,359,54,0,413,96,24780000,0
2019-12-12T06:40:00Z,24977862184,66,16,18,32,69,45,0.171021377672209,355,78,2,433,91,25980000,0
2019-12-13T06:46:30Z,24999289340,69,18,19,32,63,45,0.20159453302961275,369,76,0,445,99,26700000,0
2019-12-14T10:22:00Z,25009042355,58,18,9,31,25,44,0.1702127659574468,368,79,0,447,93,26820000,0
2019-12-15T08:18:30Z,25013611278,79,23,14,42,101,46,0.11079274116523401,479,47,0,526,98,31560000,0
2019-12-16T06:43:00Z,25033382891,74,22,14,38,62,47,0.19396051103368175,388,45,0,433,98,25980000,0
2019-12-17T06:53:30Z,25036633149,77,22,16,39,65,47,0.18333333333333332,391,44,0,435,99,26100000,0
2019-12-18T06:53:30Z,25060150828,71,20,18,33,61,46,0.19036954087346025,373,73,0,446,90,26760000,0
2019-12-19T06:57:00Z,25067580603,63,19,9,35,18,45,0.17683686176836863,349,52,0,401,83,24060000,0
2019-12-20T06:57:00Z,25086862747,75,22,15,38,72,46,0.09325153374233129,372,35,0,407,97,24420000,0
2019-12-21T08:07:30Z,25101486533,72,22,11,39,76,46,0.17861205915813425,397,49,0,446,93,26760000,0
2019-12-22T08:42:00Z,25104998807,74,18,14,42,51,47,0.16752312435765673,435,59,0,494,98,29640000,0
2019-12-23T04:24:00Z,25114886084,70,18,17,35,24,47,0.06607929515418502,217,17,0,234,95,14040000,0
2019-12-24T08:34:30Z,25132043903,74,22,17,35,64,46,0.2193419740777667,417,86,0,503,98,30180000,0
2019-12-25T09:58:30Z,25164862609,65,21,9,35,31,44,0.20279720279720279,327,30,0,357,91,21420000,0
2019-12-26T08:36:00Z,25164862610,78,21,10,47,61,45,0.15739868049010367,498,34,0,532,85,31920000,0
2019-12-27T10:35:00Z,25164862611,72,18,12,42,74,45,0.11659663865546219,426,55,0,481,85,28860000,0
2019-12-28T09:06:30Z,25171974888,80,22,18,40,68,47,0.19805194805194806,414,56,0,470,91,28200000,0
2019-12-29T08:49:30Z,25189335380,70,22,9,39,65,44,0.2508361204013378,407,41,0,448,98,26880000,0
2019-12-30T08:28:30Z,25206169676,73,22,14,37,80,45,0.15224191866527634,413,68,0,481,90,28860000,0
2019-12-31T08:33:00Z,25234143557,73,21,17,35,59,45,0.19058050383351588,387,69,0,456,98,27360000,0
2020-01-02T08:13:00Z,25266471755,72,21,13,38,56,45,0.16912487708947885,425,83,0,508,95,30480000,0
2020-01-03T06:43:00Z,25266471756,62,20,8,34,25,45,0.24686192468619247,320,38,0,358,99,21480000,0
2020-01-04T09:10:00Z,25271432662,66,21,16,29,34,47,0.2393538913362702,290,51,0,341,99,20460000,0
2020-01-05T10:06:30Z,25282737909,74,20,15,39,70,46,0.18365472910927455,464,80,0,544,99,32640000,0
2020-01-06T06:14:00Z,25307582501,60,21,12,27,55,45,0.24846248462484624,330,76,0,406,99,24360000,0
2020-01-07T06:46:30Z,25320954691,77,21,18,38,50,45,0.1216374269005848,381,46,0,427,93,25620000,0
2020-01-08T07:15:00Z,25333869511,70,21,10,39,44,45,0.24678111587982832,419,54,0,473,100,28380000,0
2020-01-09T06:53:30Z,25363101741,71,19,18,34,46,46,0.15168539325842698,377,69,0,446,95,26760000,0
2020-01-10T06:53:30Z,25380278163,76,22,18,36,78,46,0.17386231038506417,375,62,0,437,91,26220000,0
2020-01-11T07:50:30Z,25387970382,57,17,13,27,10,46,0.2217573221757322,296,62,0,358,99,21480000,0
2020-01-12T10:36:00Z,25409084902,60,18,10,32,50,46,0.20102564102564102,400,87,0,487,99,29220000,0
2020-01-13T06:28:00Z,25418134167,79,22,20,37,72,48,0.1445929526123937,370,50,0,420,90,25200000,0
2020-01-14T06:21:00Z,25430307582,68,18,18,32,44,46,0.20379746835443038,335,81,0,416,99,24960000,0
2020-01-15T06:50:00Z,25453868774,78,21,18,39,51,44,0.19286510590858416,405,43,0,448,89,26880000,0
2020-01-16T07:01:00Z,25461142287,59,15,17,27,48,44,0.20095693779904306,337,83,0,420,100,25200000,0
2020-01-17T03:49:30Z,25473326563,62,16,18,28,26,45,0.19573643410852712,233,29,0,262,97,15720000,0
2020-01-18T08:55:30Z,25491342276,75,22,12,41,88,45,0.1450381679389313,464,64,0,528,91,31680000,0
2020-01-19T09:33:00Z,25510149237,71,22,14,35,65,47,0.1583949313621964,402,74,0,476,96,28560000,0
2020-01-20T07:01:30Z,25518257560,78,20,19,39,30,48,0.18324022346368715,406,52,0,458,98,27480000,0
2020-01-21T06:43:30Z,25529945029,68,19,18,31,69,47,0.19838523644752018,358,80,0,438,100,26280000,0
2020-01-22T06:43:00Z,25557259037,72,20,20,32,39,46,0.13647058823529412,358,79,0,437,90,26220000,0
2020-01-23T04:38:00Z,25571573772,66,17,19,30,33,46,0.17784711388455537,278,45,0,323,93,19380000,0
2020-01-24T07:04:30Z,25586069832,72,22,15,35,81,46,0.08028335301062574,368,55,0,423,95,25380000,0
2020-01-25T07:23:00Z,25595523986,78,21,16,41,38,48,0.08884297520661157,425,61,0,486,95,29160000,0
2020-01-26T07:41:30Z,25607778677,71,21,18,32,45,49,0.10534351145038168,291,36,0,327,89,19620000,0
2020-01-28T06:08:00Z,25645293844,76,22,17,37,68,49,0.18912237330037082,364,44,0,408,98,24480000,0
2020-01-29T06:43:30Z,25653539379,75,19,23,33,44,48,0.09610983981693363,370,74,0,444,95,26640000,0
2020-01-30T07:05:30Z,25666164253,74,19,18,37,59,46,0.18518518518518517,395,68,0,463,97,27780000,0
2020-01-31T07:02:00Z,25696447227,73,19,18,36,42,45,0.16161616161616163,385,75,0,460,98,27600000,0
2020-02-01T08:28:00Z,25712106444,73,22,13,38,75,47,0.19250780437044746,416,70,0,486,99,29160000,0
2020-02-02T09:28:30Z,25732792765,76,22,16,38,81,48,0.11621621621621622,475,82,0,557,90,33420000,0
2020-02-03T06:45:30Z,25737843221,81,22,20,39,65,47,0.13340683572216097,405,48,0,453,91,27180000,0
2020-02-04T06:34:30Z,25751178715,68,19,19,30,14,47,0.18593563766388557,348,71,0,419,98,25140000,0
2020-02-05T07:01:30Z,25765502411,65,21,14,30,56,45,0.10014513788098693,297,50,0,347,93,20820000,0
2020-02-06T06:50:00Z,25783203957,76,22,21,33,71,47,0.11738648947951273,381,73,0,454,93,27240000,0
2020-02-07T06:52:00Z,25797324044,74,20,21,33,69,45,0.12906976744186047,364,85,0,449,92,26940000,0
2020-02-08T08:15:30Z,25819317393,65,17,12,36,49,45,0.1398527865404837,403,72,0,475,94,28500000,0
2020-02-09T08:44:00Z,25826709445,74,19,12,43,44,46,0.155299055613851,441,58,0,499,91,29940000,0
2020-02-10T06:55:30Z,25840943219,70,19,15,36,72,48,0.16174863387978142,392,65,0,457,90,27420000,0
2020-02-11T06:39:30Z,25861470136,79,21,20,38,35,47,0.13203214695752008,388,50,0,438,97,26280000,0
